DZ2011_Code,LA_Name
S01006506,Aberdeen City
S01006507,Aberdeen City
S01006508,Aberdeen City
S01006509,Aberdeen City
S01006510,Aberdeen City
S01006511,Aberdeen City
S01006512,Aberdeen City
S01006513,Aberdeen City
S01006514,Aberdeen City
S01006515,Aberdeen City
S01006516,Aberdeen City
S01006517,Aberdeen City
S01006518,Aberdeen City
S01006519,Aberdeen City
S01006520,Aberdeen City
S01006521,Aberdeen City
S01006522,Aberdeen City
S01006523,Aberdeen City
S01006524,Aberdeen City
S01006525,Aberdeen City
S01006526,Aberdeen City
S01006527,Aberdeen City
S01006528,Aberdeen City
S01006529,Aberdeen City
S01006530,Aberdeen City
S01006531,Aberdeen City
S01006532,Aberdeen City
S01006533,Aberdeen City
S01006534,Aberdeen City
S01006535,Aberdeen City
S01006536,Aberdeen City
S01006537,Aberdeen City
S01006538,Aberdeen City
S01006539,Aberdeen City
S01006540,Aberdeen City
S01006541,Aberdeen City
S01006542,Aberdeen City
S01006543,Aberdeen City
S01006544,Aberdeen City
S01006545,Aberdeen City
S01006546,Aberdeen City
S01006547,Aberdeen City
S01006548,Aberdeen City
S01006549,Aberdeen City
S01006550,Aberdeen City
S01006551,Aberdeen City
S01006552,Aberdeen City
S01006553,Aberdeen City
S01006554,Aberdeen City
S01006555,Aberdeen City
S01006556,Aberdeen City
S01006557,Aberdeen City
S01006558,Aberdeen City
S01006559,Aberdeen City
S01006560,Aberdeen City
S01006561,Aberdeen City
S01006562,Aberdeen City
S01006563,Aberdeen City
S01006564,Aberdeen City
S01006565,Aberdeen City
S01006566,Aberdeen City
S01006567,Aberdeen City
S01006568,Aberdeen City
S01006569,Aberdeen City
S01006570,Aberdeen City
S01006571,Aberdeen City
S01006572,Aberdeen City
S01006573,Aberdeen City
S01006574,Aberdeen City
S01006575,Aberdeen City
S01006576,Aberdeen City
S01006577,Aberdeen City
S01006578,Aberdeen City
S01006579,Aberdeen City
S01006580,Aberdeen City
S01006581,Aberdeen City
S01006582,Aberdeen City
S01006583,Aberdeen City
S01006584,Aberdeen City
S01006585,Aberdeen City
S01006586,Aberdeen City
S01006587,Aberdeen City
S01006588,Aberdeen City
S01006589,Aberdeen City
S01006590,Aberdeen City
S01006591,Aberdeen City
S01006592,Aberdeen City
S01006593,Aberdeen City
S01006594,Aberdeen City
S01006595,Aberdeen City
S01006596,Aberdeen City
S01006597,Aberdeen City
S01006598,Aberdeen City
S01006599,Aberdeen City
S01006600,Aberdeen City
S01006601,Aberdeen City
S01006602,Aberdeen City
S01006603,Aberdeen City
S01006604,Aberdeen City
S01006605,Aberdeen City
S01006606,Aberdeen City
S01006607,Aberdeen City
S01006608,Aberdeen City
S01006609,Aberdeen City
